,prompt,class,environment,weather,amount
331,"

A tugboat in the coastal waters during a rainy day.",tugboat,coastal waters,rainy,Multiple
332,"

A single tugboat in the coastal waters during a storm.",tugboat,coastal waters,stormy,Single
333,Two tugboats in stormy coastal waters.,tugboat,coastal waters,stormy,Two
334,Three tugboats in stormy coastal waters.,tugboat,coastal waters,stormy,Three
335,"

A tugboat anchored in the stormy coastal waters, waves crashing against its hull.",tugboat,coastal waters,stormy,Multiple
336,"

A single tugboat in the coastal waters, battling through the snowy weather.",tugboat,coastal waters,snowy,Single
337,Two tugboats in the coastal waters under snowy weather.,tugboat,coastal waters,snowy,Two
338,Three tugboats in the coastal waters under a snowy sky.,tugboat,coastal waters,snowy,Three
339,"

A tugboat plowing through the snowy coastal waters, its red hull glistening under the pale winter sun. The icy waves crash against its sturdy sides, sending plumes of spray into the air. Nearby",tugboat,coastal waters,snowy,Multiple
340,"

A single tugboat in the coastal waters, battling through the dense fog.",tugboat,coastal waters,foggy,Single
341,Two tugboats in the coastal waters with foggy weather.,tugboat,coastal waters,foggy,Two
342,Three tugboats in the coastal waters with foggy weather.,tugboat,coastal waters,foggy,Three
343,"

A tugboat navigating through the foggy coastal waters.",tugboat,coastal waters,foggy,Multiple
344,"

A single tugboat in the coastal waters, battling against the windy conditions.",tugboat,coastal waters,windy,Single
345,Two tugboats in the coastal waters on a windy day.,tugboat,coastal waters,windy,Two
346,Three tugboats in the coastal waters during a windy day.,tugboat,coastal waters,windy,Three
347,"

A tugboat anchored in the choppy coastal waters, its red hull battered by the wind and waves. The ropes securing it to the dock creak and strain as the boat rocks back and forth. Seagull",tugboat,coastal waters,windy,Multiple
348,"

A single tugboat in clear coastal waters.",tugboat,coastal waters,clear,Single
349,Two tugboats in the coastal waters with clear weather.,tugboat,coastal waters,clear,Two
350,Three tugboats in the clear coastal waters.,tugboat,coastal waters,clear,Three
351,"

A tugboat anchored in the calm, clear coastal waters.",tugboat,coastal waters,clear,Multiple
352,"

A single tugboat in the bay under a sunny sky.",tugboat,bay,sunny,Single
353,Two tugboats in the bay under a sunny sky.,tugboat,bay,sunny,Two
354,Three tugboats in a sunny bay.,tugboat,bay,sunny,Three
355,"

A sunny day in the bay with a tugboat anchored. Multiple of it.",tugboat,bay,sunny,Multiple
356,"

A single tugboat in the bay, weathered by the cloudy sky.",tugboat,bay,cloudy,Single
357,Two tugboats in a bay with cloudy weather.,tugboat,bay,cloudy,Two
358,Three tugboats in a bay with cloudy weather.,tugboat,bay,cloudy,Three
359,"

A tugboat anchored in the bay, surrounded by choppy waters. The sky above was overcast, with thick clouds obscuring the sun.",tugboat,bay,cloudy,Multiple
360,"

A single tugboat in the bay, weathered by rain.",tugboat,bay,rainy,Single
361,Two tugboats in the bay during rainy weather.,tugboat,bay,rainy,Two
362,Three tugboats in a bay during rainy weather.,tugboat,bay,rainy,Three
363,"

A tugboat anchored in the bay, raindrops pelting its metal hull.",tugboat,bay,rainy,Multiple
364,"

A single tugboat in the bay amidst stormy weather.",tugboat,bay,stormy,Single
365,Two tugboats in the bay amidst stormy weather.,tugboat,bay,stormy,Two
366,Three tugboats in a bay amidst stormy weather.,tugboat,bay,stormy,Three
367,"

A tugboat anchored in the bay, waves crashing against its hull in the stormy weather.",tugboat,bay,stormy,Multiple
368,"

A single tugboat in the bay, shrouded in snowfall.",tugboat,bay,snowy,Single
369,Two tugboats in the bay under snowy weather.,tugboat,bay,snowy,Two
370,Three tugboats in a snowy bay.,tugboat,bay,snowy,Three
371,"

A tugboat anchored in the bay, surrounded by snow-covered water.",tugboat,bay,snowy,Multiple
372,"

A single tugboat in the bay, shrouded by fog.",tugboat,bay,foggy,Single
373,"Two tugboats in the bay, shrouded in fog.",tugboat,bay,foggy,Two
374,Three tugboats in a foggy bay.,tugboat,bay,foggy,Three
375,"

A tugboat anchored in the foggy bay, its red and white stripes barely visible through the mist.",tugboat,bay,foggy,Multiple
376,"

A single tugboat in the bay, weathered by wind.",tugboat,bay,windy,Single
377,Two tugboats in the bay under windy conditions.,tugboat,bay,windy,Two
378,Three tugboats in a bay under windy conditions.,tugboat,bay,windy,Three
379,"

A tugboat anchored in the bay, waves crashing against its hull as the wind howls through the rigging.",tugboat,bay,windy,Multiple
380,"

A single tugboat in the bay with clear weather.",tugboat,bay,clear,Single
381,Two tugboats in the bay with clear weather.,tugboat,bay,clear,Two
382,Three tugboats in a clear bay.,tugboat,bay,clear,Three
383,"

A clear bay with a single tugboat anchored.",tugboat,bay,clear,Multiple
384,"

A single tugboat anchored in the clear waters of the Gulf, under the bright, sunny sky.",tugboat,gulf,sunny,Single
385,Two tugboats in the Gulf under a sunny sky.,tugboat,gulf,sunny,Two
386,Three tugboats in the Gulf under a sunny sky.,tugboat,gulf,sunny,Three
387,"

A sunny day in the Gulf of Mexico. A red and white tugboat anchored in the calm waters. Its powerful engine idling gently, creating small ripples on the surface. The sun casting long shadows on the boat's",tugboat,gulf,sunny,Multiple
388,"

A single tugboat in the Gulf, weathered by the clouds.",tugboat,gulf,cloudy,Single
389,Two tugboats in the gulf under cloudy weather.,tugboat,gulf,cloudy,Two
390,Three tugboats in the gulf with cloudy weather.,tugboat,gulf,cloudy,Three
391,"

A tugboat in the Gulf, surrounded by thick, rolling clouds.",tugboat,gulf,cloudy,Multiple
392,"

A single tugboat in the Gulf, weathered by rain.",tugboat,gulf,rainy,Single
393,Two tugboats in the gulf during rainy weather.,tugboat,gulf,rainy,Two
394,Three tugboats in the Gulf during rainy weather.,tugboat,gulf,rainy,Three
395,"

A tugboat in the Gulf, battered by rain.",tugboat,gulf,rainy,Multiple
396,"

A single tugboat in the Gulf, weathered by stormy conditions.",tugboat,gulf,stormy,Single
397,Two tugboats in the gulf during a storm.,tugboat,gulf,stormy,Two
398,Three tugboats in the gulf during a storm.,tugboat,gulf,stormy,Three
399,"

A tugboat anchored in the Gulf, weathered by stormy conditions.",tugboat,gulf,stormy,Multiple
400,"

A single tugboat in the Gulf, battling through the snowy weather.",tugboat,gulf,snowy,Single
401,"Two tugboats in the gulf, weather like snow.",tugboat,gulf,snowy,Two
402,"Three tugboats in the gulf, weathered by snow.",tugboat,gulf,snowy,Three
403,"

A tugboat in the gulf, shrouded in snowy weather.",tugboat,gulf,snowy,Multiple
404,"

A single tugboat in the Gulf, shrouded by fog.",tugboat,gulf,foggy,Single
405,Two tugboats in the gulf with foggy weather.,tugboat,gulf,foggy,Two
406,Three tugboats in the gulf with foggy weather.,tugboat,gulf,foggy,Three
407,"

A tugboat in the Gulf, shrouded by fog.",tugboat,gulf,foggy,Multiple
408,"

A single tugboat in the Gulf, battling against the windy conditions.",tugboat,gulf,windy,Single
409,Two tugboats in the gulf under windy conditions.,tugboat,gulf,windy,Two
410,Three tugboats in the gulf under windy conditions.,tugboat,gulf,windy,Three
411,"

A tugboat anchored in the Gulf, weathered by windy conditions.",tugboat,gulf,windy,Multiple
412,"

A single tugboat anchored in the clear waters of the Gulf.",tugboat,gulf,clear,Single
413,Two tugboats in the gulf with clear weather.,tugboat,gulf,clear,Two
414,Three tugboats in the clear gulf.,tugboat,gulf,clear,Three
415,"

A clear day in the Gulf of Mexico. A single tugboat anchored in the calm waters.",tugboat,gulf,clear,Multiple
416,"

A single tugboat in the estuary under a sunny sky.",tugboat,estuary,sunny,Single
417,Two tugboats in an estuary under a sunny sky.,tugboat,estuary,sunny,Two
418,Three tugboats in an estuary under a sunny sky.,tugboat,estuary,sunny,Three
419,"

A sunny day in the estuary. A tugboat anchored, its red hull reflecting the sunlight. Another tugboat, farther away, pulling a barge laden with containers. The water shimmers under the bright",tugboat,estuary,sunny,Multiple
420,"

A single tugboat in the estuary under cloudy weather.",tugboat,estuary,cloudy,Single
421,Two tugboats in an estuary under cloudy weather.,tugboat,estuary,cloudy,Two
422,Three tugboats in an estuary under cloudy weather.,tugboat,estuary,cloudy,Three
423,"

A tugboat anchored in the estuary amidst cloudy weather.",tugboat,estuary,cloudy,Multiple
424,"

A single tugboat in the estuary during rainy weather.",tugboat,estuary,rainy,Single
425,Two tugboats in the estuary during rainy weather.,tugboat,estuary,rainy,Two
426,Three tugboats in an estuary during rainy weather.,tugboat,estuary,rainy,Three
427,"

A tugboat anchored in the estuary during a rainy day.",tugboat,estuary,rainy,Multiple
428,"

A single tugboat in the estuary during a storm.",tugboat,estuary,stormy,Single
429,Two tugboats in the estuary during a storm.,tugboat,estuary,stormy,Two
430,Three tugboats in an estuary during a storm.,tugboat,estuary,stormy,Three
431,"

A tugboat anchored in the estuary during a stormy weather.",tugboat,estuary,stormy,Multiple
432,"

A single tugboat in an estuary amidst snowfall.",tugboat,estuary,snowy,Single
433,Two tugboats in an estuary under snowy weather.,tugboat,estuary,snowy,Two
434,Three tugboats in an estuary under snowy weather.,tugboat,estuary,snowy,Three
435,"

A tugboat anchored in the estuary, its red hull glistening under the snowy sky. Fluffy snowflakes gently falling onto the water, creating ripples as they land. The tugboat's powerful engines",tugboat,estuary,snowy,Multiple
436,"

A single tugboat in the estuary amidst foggy conditions.",tugboat,estuary,foggy,Single
437,Two tugboats in the estuary shrouded in fog.,tugboat,estuary,foggy,Two
438,Three tugboats in an estuary shrouded in fog.,tugboat,estuary,foggy,Three
439,"

A tugboat anchored in the estuary, shrouded in fog.",tugboat,estuary,foggy,Multiple
440,"

A single tugboat in the estuary, battling against the windy conditions.",tugboat,estuary,windy,Single
441,Two tugboats in an estuary during windy weather.,tugboat,estuary,windy,Two
442,Three tugboats in an estuary during windy weather.,tugboat,estuary,windy,Three
443,"

A tugboat anchored in the estuary, waves crashing against its hull as the wind howls through the rigging.",tugboat,estuary,windy,Multiple
444,"

A single tugboat in the estuary under clear skies.",tugboat,estuary,clear,Single
445,Two tugboats in the estuary under clear skies.,tugboat,estuary,clear,Two
446,Three tugboats in an estuary with clear weather.,tugboat,estuary,clear,Three
447,"

Clear day in an estuary. A tugboat anchored, its red hull reflecting the sunlight. Another tugboat, farther away, pulling a barge laden with containers.",tugboat,estuary,clear,Multiple
448,"

A single tugboat anchored in a sunny river.",tugboat,river,sunny,Single
449,Two tugboats in a sunny river.,tugboat,river,sunny,Two
450,Three tugboats in a sunny river.,tugboat,river,sunny,Three
451,"

A sunny day on the river. A single tugboat anchored, its red and white stripes reflecting off the calm water.",tugboat,river,sunny,Multiple
452,"

A single tugboat on a cloudy river.",tugboat,river,cloudy,Single
453,Two tugboats in a cloudy river.,tugboat,river,cloudy,Two
454,Three tugboats in a cloudy river.,tugboat,river,cloudy,Three
455,"

A tugboat anchored in the cloudy river, raindrops pattering on its metal hull.",tugboat,river,cloudy,Multiple
456,"

A single tugboat in the river during rainy weather.",tugboat,river,rainy,Single
457,Two tugboats in a rainy river.,tugboat,river,rainy,Two
458,Three tugboats in a rainy river.,tugboat,river,rainy,Three
459,"

A tugboat anchored in the rainy river, its red hull glistening with droplets.",tugboat,river,rainy,Multiple
460,"

A lone tugboat anchored in the river, battling against the stormy waves.",tugboat,river,stormy,Single
461,Two tugboats in a stormy river.,tugboat,river,stormy,Two
462,Three tugboats in a stormy river.,tugboat,river,stormy,Three
463,"

A tugboat anchored in the river, weathered by stormy conditions.",tugboat,river,stormy,Multiple
464,"

A single tugboat on a snowy river, its red hull glistening under the pale winter sun, plumes of white steam rising from its stack as it pushes a barge through the icy waters.",tugboat,river,snowy,Single
465,Two tugboats in a snowy river.,tugboat,river,snowy,Two
466,Three tugboats in a snowy river.,tugboat,river,snowy,Three
467,"

A tugboat plowing through the snowy river, its steamy exhaust rising into the wintry air.",tugboat,river,snowy,Multiple
468,"

A single tugboat in the river, shrouded in fog.",tugboat,river,foggy,Single
469,Two tugboats in a foggy river.,tugboat,river,foggy,Two
470,Three tugboats in a foggy river.,tugboat,river,foggy,Three
471,"

A tugboat navigating a foggy river.",tugboat,river,foggy,Multiple
472,"

A single tugboat anchored in a river, weathered by windy conditions.",tugboat,river,windy,Single
473,Two tugboats in a windy river.,tugboat,river,windy,Two
474,Three tugboats in a windy river.,tugboat,river,windy,Three
475,"

A tugboat anchored in the river, weathered by windy conditions.",tugboat,river,windy,Multiple
476,"

A single tugboat anchored in a clear river.",tugboat,river,clear,Single
477,Two tugboats in a clear river.,tugboat,river,clear,Two
478,Three tugboats in a clear river.,tugboat,river,clear,Three
479,"

A clear day on a river with a solitary tugboat anchored near the shore.",tugboat,river,clear,Multiple
480,"

A single tugboat in a sunny canal.",tugboat,canal,sunny,Single
481,Two tugboats in a sunny canal.,tugboat,canal,sunny,Two
482,Three tugboats in a sunny canal.,tugboat,canal,sunny,Three
483,"

A sunny canal scene featuring a tugboat and its tow.",tugboat,canal,sunny,Multiple
484,"

A single tugboat in a canal, surrounded by the gray haze of a cloudy day.",tugboat,canal,cloudy,Single
485,"Two tugboats in a canal, cloudy weather.",tugboat,canal,cloudy,Two
